Second,Valence,Arousal,B_BVP,E_Skin_Cond,before_stressed,before_excited,before_sad,before_relaxed,before_german,before_english,after_stressed,after_excited,after_sad,after_relaxed,after_german,after_english
18.0,104.577,32.642,35.442,7.108,1,4,1,3,5,4,1,1,1,4,4,4
18.5,102.287,38.270,35.199,7.126,1,4,1,3,5,4,1,1,1,4,4,4
19.0,105.163,34.956,34.740,7.126,1,4,1,3,5,4,1,1,1,4,4,4
19.5,112.981,32.695,34.809,7.108,1,4,1,3,5,4,1,1,1,4,4,4
20.0,95.692,40.222,36.275,7.070,1,4,1,3,5,4,1,1,1,4,4,4
20.5,81.200,42.167,34.339,7.040,1,4,1,3,5,4,1,1,1,4,4,4
21.0,45.848,41.850,32.058,7.009,1,4,1,3,5,4,1,1,1,4,4,4
21.5,18.917,43.706,34.527,6.979,1,4,1,3,5,4,1,1,1,4,4,4
22.0,13.532,44.642,33.072,6.951,1,4,1,3,5,4,1,1,1,4,4,4
22.5,42.607,42.200,30.703,6.922,1,4,1,3,5,4,1,1,1,4,4,4
23.0,83.792,42.200,34.725,6.882,1,4,1,3,5,4,1,1,1,4,4,4
23.5,97.330,42.200,37.173,6.855,1,4,1,3,5,4,1,1,1,4,4,4
24.0,109.857,42.200,35.625,6.833,1,4,1,3,5,4,1,1,1,4,4,4
24.5,116.908,74.702,35.405,6.814,1,4,1,3,5,4,1,1,1,4,4,4
25.0,143.658,132.929,36.043,6.795,1,4,1,3,5,4,1,1,1,4,4,4
25.5,144.597,150.790,36.140,6.768,1,4,1,3,5,4,1,1,1,4,4,4
26.0,143.717,176.164,36.199,6.747,1,4,1,3,5,4,1,1,1,4,4,4
26.5,127.777,202.533,38.590,6.737,1,4,1,3,5,4,1,1,1,4,4,4
27.0,96.488,215.205,38.711,6.727,1,4,1,3,5,4,1,1,1,4,4,4
27.5,106.744,220.050,36.603,6.716,1,4,1,3,5,4,1,1,1,4,4,4
28.0,78.499,216.133,36.222,6.704,1,4,1,3,5,4,1,1,1,4,4,4
28.5,78.660,221.333,35.494,6.693,1,4,1,3,5,4,1,1,1,4,4,4
29.0,80.233,225.520,35.326,6.683,1,4,1,3,5,4,1,1,1,4,4,4
29.5,75.783,223.950,35.387,6.676,1,4,1,3,5,4,1,1,1,4,4,4
30.0,63.423,210.023,35.783,6.678,1,4,1,3,5,4,1,1,1,4,4,4
30.5,77.810,200.513,35.609,6.711,1,4,1,3,5,4,1,1,1,4,4,4
31.0,95.973,193.090,35.032,6.781,1,4,1,3,5,4,1,1,1,4,4,4
31.5,112.466,193.090,34.679,6.852,1,4,1,3,5,4,1,1,1,4,4,4
32.0,142.366,224.803,35.349,6.900,1,4,1,3,5,4,1,1,1,4,4,4
32.5,152.537,231.761,35.898,6.918,1,4,1,3,5,4,1,1,1,4,4,4
33.0,130.733,163.527,35.409,6.922,1,4,1,3,5,4,1,1,1,4,4,4
33.5,147.390,123.271,36.745,6.924,1,4,1,3,5,4,1,1,1,4,4,4
34.0,178.976,116.560,35.544,6.923,1,4,1,3,5,4,1,1,1,4,4,4
34.5,146.823,90.077,35.445,6.940,1,4,1,3,5,4,1,1,1,4,4,4
35.0,177.877,87.480,35.006,6.981,1,4,1,3,5,4,1,1,1,4,4,4
35.5,176.233,91.470,36.021,7.091,1,4,1,3,5,4,1,1,1,4,4,4
36.0,176.672,72.913,35.874,7.255,1,4,1,3,5,4,1,1,1,4,4,4
36.5,179.839,70.833,35.864,7.400,1,4,1,3,5,4,1,1,1,4,4,4
37.0,173.070,70.833,35.399,7.490,1,4,1,3,5,4,1,1,1,4,4,4
37.5,169.067,70.833,35.137,7.535,1,4,1,3,5,4,1,1,1,4,4,4
38.0,166.467,70.833,35.413,7.543,1,4,1,3,5,4,1,1,1,4,4,4
38.5,148.348,70.833,35.690,7.526,1,4,1,3,5,4,1,1,1,4,4,4
39.0,119.958,70.833,36.580,7.511,1,4,1,3,5,4,1,1,1,4,4,4
39.5,84.143,67.310,36.290,7.516,1,4,1,3,5,4,1,1,1,4,4,4
40.0,66.517,47.881,35.967,7.522,1,4,1,3,5,4,1,1,1,4,4,4
40.5,9.938,27.942,36.027,7.520,1,4,1,3,5,4,1,1,1,4,4,4
41.0,-118.630,28.644,36.097,7.507,1,4,1,3,5,4,1,1,1,4,4,4
41.5,-197.676,95.041,35.794,7.503,1,4,1,3,5,4,1,1,1,4,4,4
42.0,-186.313,138.810,35.816,7.525,1,4,1,3,5,4,1,1,1,4,4,4
42.5,-113.208,140.455,35.956,7.551,1,4,1,3,5,4,1,1,1,4,4,4
43.0,-133.913,156.967,35.719,7.559,1,4,1,3,5,4,1,1,1,4,4,4
43.5,-138.180,167.057,35.252,7.544,1,4,1,3,5,4,1,1,1,4,4,4
44.0,-146.791,147.581,35.691,7.522,1,4,1,3,5,4,1,1,1,4,4,4
44.5,-196.480,132.924,36.160,7.532,1,4,1,3,5,4,1,1,1,4,4,4
45.0,-200.500,122.694,36.273,7.578,1,4,1,3,5,4,1,1,1,4,4,4
45.5,-169.144,118.150,36.033,7.620,1,4,1,3,5,4,1,1,1,4,4,4
